text,label,subtype
"I feel uncertain about decisions that used to be easy.",anxiety_primary,uncertainty
"I don’t feel much excitement when planning the weekend.",depression_primary,loss_of_interest
"I noticed I was tired but it passed after resting.",neutral,temporary_tiredness
"My thoughts keep circling and leave me emotionally drained.",mixed_anxiety_primary,anxious_exhaustion
"I feel low and keep worrying about future responsibilities.",mixed_depression_primary,sadness_with_worry
"My mood moves between calm and uneasy quickly.",mixed_balanced,fluctuating_mood
"I keep imagining worst-case scenarios before meetings.",anxiety_primary,worry_future
"I feel disconnected from things I usually enjoy.",depression_primary,emotional_flatness
"I’m thinking about how my habits affect my mood.",neutral,self_reflection
"I feel sad while repeatedly thinking about small worries.",mixed_anxiety_primary,rumination_and_sadness
"My energy drops while my mind keeps planning problems.",mixed_depression_primary,low_energy_overthinking
"I feel equally weighed down by stress and low mood.",mixed_balanced,stress_and_low_mood_equal
"My muscles stay tight during quiet moments.",anxiety_primary,physical_tension
"I delay tasks because nothing feels engaging.",depression_primary,loss_of_interest
"I just want reassurance that this level of stress is common.",neutral,reassurance_seeking
"I worry constantly and it leaves me emotionally heavy.",mixed_anxiety_primary,worry_with_low_mood
"I feel sad and also anticipate things going wrong.",mixed_depression_primary,pessimistic_anxiety
"My feelings are mixed and hard to organize.",mixed_balanced,emotional_confusion
"I rethink messages before sending them many times.",anxiety_primary,overthinking
"I feel slowed down and unmotivated today.",depression_primary,low_motivation
"Work was manageable but mentally tiring.",neutral,everyday_stress
"I feel mentally exhausted from worrying so much.",mixed_anxiety_primary,anxious_exhaustion
"I feel down while worrying about small details.",mixed_depression_primary,sadness_with_worry
"My mood shifts between calm and uneasy.",mixed_balanced,fluctuating_mood
"I’m unsure whether I made the right decision earlier.",anxiety_primary,uncertainty
"I struggle to feel enthusiasm for hobbies lately.",depression_primary,loss_of_interest
"I’m reflecting quietly on how the week has gone.",neutral,self_reflection
"I keep thinking about worries that turn into sadness.",mixed_anxiety_primary,rumination_and_sadness
"My thoughts feel heavy and pessimistic.",mixed_depression_primary,pessimistic_anxiety
"I feel stress and sadness balancing each other.",mixed_balanced,stress_and_low_mood_equal
"I feel tense waiting for responses from people.",anxiety_primary,physical_tension
"I feel emotionally muted even during conversations.",depression_primary,emotional_flatness
"I’m just tired from a long day of errands.",neutral,temporary_tiredness
"I worry while feeling emotionally drained.",mixed_anxiety_primary,worry_with_low_mood
"My energy is low and my mind keeps predicting issues.",mixed_depression_primary,low_energy_overthinking
"I can’t clearly identify what emotion is strongest.",mixed_balanced,emotional_confusion
"I imagine future problems more than present ones.",anxiety_primary,worry_future
"I find it difficult to begin tasks without pressure.",depression_primary,low_motivation
"I wonder if others also rethink their day this much.",neutral,reassurance_seeking
"I feel exhausted from constant thinking.",mixed_anxiety_primary,anxious_exhaustion
"I feel sad and anxious about upcoming plans.",mixed_depression_primary,sadness_with_worry
"My emotions fluctuate throughout the afternoon.",mixed_balanced,fluctuating_mood
"I replay small mistakes repeatedly in my head.",anxiety_primary,overthinking
"I feel detached from activities around me.",depression_primary,emotional_flatness
"My schedule was full but manageable overall.",neutral,everyday_stress
"My worries blend into a heavy emotional feeling.",mixed_anxiety_primary,rumination_and_sadness
"I expect problems even when things seem fine.",mixed_depression_primary,pessimistic_anxiety
"I feel stress and sadness at similar levels.",mixed_balanced,stress_and_low_mood_equal
"I feel uneasy not knowing how things will turn out.",anxiety_primary,uncertainty
"I lack motivation even for simple chores.",depression_primary,low_motivation
"I’m thinking about how I reacted to today’s events.",neutral,self_reflection
"I feel worried and emotionally low together.",mixed_anxiety_primary,worry_with_low_mood
"My thoughts keep looping while I feel drained.",mixed_depression_primary,low_energy_overthinking
"I feel emotionally mixed without a clear cause.",mixed_balanced,emotional_confusion
"My jaw tightens when deadlines approach.",anxiety_primary,physical_tension
"I’m less interested in social plans recently.",depression_primary,loss_of_interest
"I just feel temporarily worn out from work.",neutral,temporary_tiredness
"I feel mentally tired from overthinking worries.",mixed_anxiety_primary,anxious_exhaustion
"I feel sad and uneasy thinking about tomorrow.",mixed_depression_primary,sadness_with_worry
"My mood changes subtly throughout the day.",mixed_balanced,fluctuating_mood
"I keep questioning future outcomes.",anxiety_primary,worry_future
"I don’t feel much emotional reaction to good news.",depression_primary,emotional_flatness
"I’m checking whether others find this level of stress normal.",neutral,reassurance_seeking
"I keep circling the same thoughts and feel down.",mixed_anxiety_primary,rumination_and_sadness
"My energy feels low while worries stay active.",mixed_depression_primary,low_energy_overthinking
"I feel both stressed and emotionally low.",mixed_balanced,stress_and_low_mood_equal
"I hesitate because I’m unsure what choice is best.",anxiety_primary,uncertainty
"I struggle to get moving in the morning.",depression_primary,low_motivation
"I spent time reflecting on small improvements I can make.",neutral,self_reflection
"I feel worried and emotionally heavy together.",mixed_anxiety_primary,worry_with_low_mood
"I feel pessimistic and uneasy at once.",mixed_depression_primary,pessimistic_anxiety
"My feelings feel tangled and unclear.",mixed_balanced,emotional_confusion
"I overanalyze conversations long after they end.",anxiety_primary,overthinking
"I feel less enjoyment from entertainment lately.",depression_primary,loss_of_interest
"Today was mostly routine with minor stress.",neutral,everyday_stress
"I feel exhausted from thinking too much.",mixed_anxiety_primary,anxious_exhaustion
"I feel low while anticipating problems.",mixed_depression_primary,sadness_with_worry
"My emotions swing slightly without warning.",mixed_balanced,fluctuating_mood
"My body feels tense when planning ahead.",anxiety_primary,physical_tension
"I feel emotionally flat despite positive moments.",depression_primary,emotional_flatness
"I’m just tired but expect to recover after rest.",neutral,temporary_tiredness
"I keep worrying and it lowers my mood.",mixed_anxiety_primary,worry_with_low_mood
"My thoughts feel slow yet focused on worries.",mixed_depression_primary,low_energy_overthinking
"I feel stress and sadness evenly today.",mixed_balanced,stress_and_low_mood_equal
"I keep thinking about uncertain outcomes.",anxiety_primary,uncertainty
"I find it hard to care about hobbies right now.",depression_primary,loss_of_interest
"I’m wondering if others also reflect this much.",neutral,reassurance_seeking
"My worries repeat and make me feel down.",mixed_anxiety_primary,rumination_and_sadness
"I expect setbacks even without evidence.",mixed_depression_primary,pessimistic_anxiety
"I feel emotionally confused lately.",mixed_balanced,emotional_confusion
"I imagine future scenarios repeatedly.",anxiety_primary,worry_future
"I feel low energy when starting new tasks.",depression_primary,low_motivation
"I reviewed my day and noticed small wins.",neutral,self_reflection
"I feel mentally drained from constant worry.",mixed_anxiety_primary,anxious_exhaustion
"I feel sad and uneasy thinking ahead.",mixed_depression_primary,sadness_with_worry
"My mood alternates between calm and low.",mixed_balanced,fluctuating_mood
"I keep thinking ahead to possible problems even during quiet moments.",anxiety_primary,worry_future
"I sit staring at tasks longer than usual before starting them.",depression_primary,low_motivation
"I had a normal day but felt slightly pressured by small responsibilities.",neutral,everyday_stress
"My thoughts race while I feel emotionally drained at the same time.",mixed_anxiety_primary,anxious_exhaustion
"I feel sad while also worrying about what might happen next.",mixed_depression_primary,sadness_with_worry
"My emotions feel mixed together and hard to separate.",mixed_balanced,emotional_confusion
"I rethink decisions repeatedly after making them.",anxiety_primary,overthinking
"Activities I once liked feel less engaging recently.",depression_primary,loss_of_interest
"I’m just checking if feeling this mentally busy is common.",neutral,reassurance_seeking
"I keep going over worries until they make me feel down.",mixed_anxiety_primary,rumination_and_sadness
"My energy feels low but my thoughts keep running.",mixed_depression_primary,low_energy_overthinking
"I feel stress and sadness sharing equal space today.",mixed_balanced,stress_and_low_mood_equal
"My hands feel tense when I think about upcoming plans.",anxiety_primary,physical_tension
"I feel emotionally dull even during enjoyable moments.",depression_primary,emotional_flatness
"I spent time thinking about how today compared to yesterday.",neutral,self_reflection
"I worry frequently and it pulls my mood downward.",mixed_anxiety_primary,worry_with_low_mood
"I feel gloomy and expect small things to go poorly.",mixed_depression_primary,pessimistic_anxiety
"My feelings shift slightly throughout the morning.",mixed_balanced,fluctuating_mood
"I imagine future conversations and possible outcomes repeatedly.",anxiety_primary,worry_future
"It takes extra effort to begin routine chores.",depression_primary,low_motivation
"I feel tired from everyday obligations but nothing unusual.",neutral,temporary_tiredness
"My mind feels busy while my emotions feel heavy.",mixed_anxiety_primary,anxious_exhaustion
"I feel low while worrying about unfinished responsibilities.",mixed_depression_primary,sadness_with_worry
"My mood changes gently without clear triggers.",mixed_balanced,fluctuating_mood
"I analyze simple choices longer than necessary.",anxiety_primary,overthinking
"I notice less excitement when planning free time.",depression_primary,loss_of_interest
"I wonder if others also seek reassurance about small worries.",neutral,reassurance_seeking
"I feel sad after repeatedly thinking about worries.",mixed_anxiety_primary,rumination_and_sadness
"My energy dips while my thoughts stay active.",mixed_depression_primary,low_energy_overthinking
"I feel equally weighed by stress and low mood today.",mixed_balanced,stress_and_low_mood_equal
"My shoulders tense up while thinking ahead.",anxiety_primary,physical_tension
"I feel emotionally muted during conversations.",depression_primary,emotional_flatness
"My day felt typical but mentally busy.",neutral,everyday_stress
"I feel worried and emotionally heavy together.",mixed_anxiety_primary,worry_with_low_mood
"I expect setbacks even without clear reasons.",mixed_depression_primary,pessimistic_anxiety
"I struggle to describe exactly what I’m feeling.",mixed_balanced,emotional_confusion
"I feel unsure about decisions that normally feel simple.",anxiety_primary,uncertainty
"I move slowly through tasks because motivation feels limited.",depression_primary,low_motivation
"I noticed I was tired but improved after a short break.",neutral,temporary_tiredness
"My thoughts spin while my mood feels low.",mixed_anxiety_primary,anxious_exhaustion
"I feel sad while anticipating possible problems.",mixed_depression_primary,sadness_with_worry
"My emotions fluctuate between steady and unsettled.",mixed_balanced,fluctuating_mood
"I imagine worst outcomes before events begin.",anxiety_primary,worry_future
"I struggle to feel enthusiasm for upcoming plans.",depression_primary,loss_of_interest
"I’m reflecting on how I handled challenges today.",neutral,self_reflection
"My worries repeat until they affect my mood.",mixed_anxiety_primary,rumination_and_sadness
"My thoughts lean negative while my energy stays low.",mixed_depression_primary,pessimistic_anxiety
"I feel stress and sadness at similar intensity.",mixed_balanced,stress_and_low_mood_equal
"My jaw tightens while waiting for updates.",anxiety_primary,physical_tension
"I feel emotionally flat even when things go well.",depression_primary,emotional_flatness
"I had several tasks to juggle but managed fine.",neutral,everyday_stress
"I worry often and feel emotionally tired afterward.",mixed_anxiety_primary,worry_with_low_mood
"My mind keeps predicting problems while I feel drained.",mixed_depression_primary,low_energy_overthinking
"My feelings seem blended together today.",mixed_balanced,emotional_confusion
"I hesitate because outcomes feel uncertain.",anxiety_primary,uncertainty
"It feels harder to get started in the mornings.",depression_primary,low_motivation
"I’m just looking for reassurance that this stress level is normal.",neutral,reassurance_seeking
"I feel exhausted from constant worrying.",mixed_anxiety_primary,anxious_exhaustion
"I feel down while thinking about future tasks.",mixed_depression_primary,sadness_with_worry
"My mood rises and falls slightly during the day.",mixed_balanced,fluctuating_mood
"I replay interactions wondering how they sounded.",anxiety_primary,overthinking
"I feel disconnected from activities around me.",depression_primary,loss_of_interest
"I spent time reviewing what went well today.",neutral,self_reflection
"I keep revisiting worries until sadness appears.",mixed_anxiety_primary,rumination_and_sadness
"I expect difficulties even when things seem stable.",mixed_depression_primary,pessimistic_anxiety
"I feel both stressed and low at equal levels.",mixed_balanced,stress_and_low_mood_equal
"My stomach tightens when deadlines approach.",anxiety_primary,physical_tension
"I feel emotionally quiet even during exciting moments.",depression_primary,emotional_flatness
"I’m simply tired after a long sequence of tasks.",neutral,temporary_tiredness
"I feel worried while also emotionally weighed down.",mixed_anxiety_primary,worry_with_low_mood
"My energy is limited but my thoughts keep planning problems.",mixed_depression_primary,low_energy_overthinking
"I can’t clearly identify my main emotion today.",mixed_balanced,emotional_confusion
"I question whether I chose correctly earlier.",anxiety_primary,uncertainty
"I delay activities because motivation feels low.",depression_primary,low_motivation
"My schedule felt busy yet manageable.",neutral,everyday_stress
"My mind feels crowded with worries and fatigue.",mixed_anxiety_primary,anxious_exhaustion
"I feel sad while thinking about upcoming responsibilities.",mixed_depression_primary,sadness_with_worry
"My mood subtly shifts throughout the evening.",mixed_balanced,fluctuating_mood
"I picture future scenarios repeatedly in my head.",anxiety_primary,worry_future
"I find less enjoyment in casual entertainment.",depression_primary,loss_of_interest
"I’m checking if others also reflect this much.",neutral,reassurance_seeking
"My thoughts circle worries and lower my mood.",mixed_anxiety_primary,rumination_and_sadness
"I feel pessimistic and uneasy at the same time.",mixed_depression_primary,pessimistic_anxiety
"I feel balanced between stress and sadness.",mixed_balanced,stress_and_low_mood_equal
"My muscles stay tight when thinking ahead.",anxiety_primary,physical_tension
"I feel emotionally distant from positive events.",depression_primary,emotional_flatness
"I reflected quietly on small improvements today.",neutral,self_reflection
"I worry frequently and feel emotionally heavy.",mixed_anxiety_primary,worry_with_low_mood
"My thoughts remain active despite low energy.",mixed_depression_primary,low_energy_overthinking
"My feelings seem tangled together.",mixed_balanced,emotional_confusion
"I feel uncertain about future plans.",anxiety_primary,uncertainty
"I struggle to begin even easy tasks.",depression_primary,low_motivation
"I just feel temporarily drained from daily routines.",neutral,temporary_tiredness
"My mind races while I feel emotionally tired.",mixed_anxiety_primary,anxious_exhaustion
"I feel low while worrying about small issues.",mixed_depression_primary,sadness_with_worry
"My emotions change gently during conversations.",mixed_balanced,fluctuating_mood
"I keep predicting what might go wrong.",anxiety_primary,worry_future
"I feel little excitement toward upcoming events.",depression_primary,loss_of_interest
"I had a standard day with manageable stress.",neutral,everyday_stress
"My worries blend into sadness over time.",mixed_anxiety_primary,rumination_and_sadness
"I expect problems even when none appear likely.",mixed_depression_primary,pessimistic_anxiety
"I feel stress and sadness equally present.",mixed_balanced,stress_and_low_mood_equal
"My body feels tense while waiting for outcomes.",anxiety_primary,physical_tension
"I feel emotionally muted throughout the afternoon.",depression_primary,emotional_flatness
"I’m thinking about how my habits influence my mood.",neutral,self_reflection
"I feel worried and emotionally low together.",mixed_anxiety_primary,worry_with_low_mood
"My thoughts stay active while energy stays low.",mixed_depression_primary,low_energy_overthinking
"I feel unsure which emotion stands out most.",mixed_balanced,emotional_confusion
"I hesitate because outcomes feel unclear.",anxiety_primary,uncertainty
"I find it difficult to feel motivated today.",depression_primary,low_motivation
"I’m seeking reassurance that this tiredness is temporary.",neutral,reassurance_seeking
"I feel exhausted from thinking through worries.",mixed_anxiety_primary,anxious_exhaustion
"I feel sad while anticipating future challenges.",mixed_depression_primary,sadness_with_worry
"My mood drifts between calm and low.",mixed_balanced,fluctuating_mood
"I replay conversations searching for mistakes.",anxiety_primary,overthinking
"I feel detached from hobbies I once enjoyed.",depression_primary,loss_of_interest
"My day included normal responsibilities and mild stress.",neutral,everyday_stress
"My worries repeat until I feel emotionally down.",mixed_anxiety_primary,rumination_and_sadness
"I expect setbacks even when things go smoothly.",mixed_depression_primary,pessimistic_anxiety
"I feel both stress and sadness evenly.",mixed_balanced,stress_and_low_mood_equal
"My neck tightens when thinking about plans.",anxiety_primary,physical_tension
"I feel emotionally flat despite positive news.",depression_primary,emotional_flatness
"I’m simply tired after completing routine tasks.",neutral,temporary_tiredness
"I feel worried while emotionally worn down.",mixed_anxiety_primary,worry_with_low_mood
"My energy feels low while thoughts remain busy.",mixed_depression_primary,low_energy_overthinking
"My emotions feel mixed and undefined.",mixed_balanced,emotional_confusion
"I keep anticipating future situations even when nothing is scheduled yet.",anxiety_primary,worry_future
"Starting small tasks feels unusually effortful today.",depression_primary,low_motivation
"I handled normal responsibilities but felt slightly overwhelmed by timing.",neutral,everyday_stress
"My thoughts keep moving quickly while my energy feels depleted.",mixed_anxiety_primary,anxious_exhaustion
"I feel low while also worrying about upcoming conversations.",mixed_depression_primary,sadness_with_worry
"My emotions feel layered and difficult to sort out.",mixed_balanced,emotional_confusion
"I review choices repeatedly after making them.",anxiety_primary,overthinking
"Things that usually interest me feel less appealing lately.",depression_primary,loss_of_interest
"I’m wondering if others double-check their feelings this often.",neutral,reassurance_seeking
"My worries replay until my mood drops.",mixed_anxiety_primary,rumination_and_sadness
"My body feels tired but my mind keeps planning ahead.",mixed_depression_primary,low_energy_overthinking
"I feel equally pulled by stress and sadness.",mixed_balanced,stress_and_low_mood_equal
"My shoulders tighten whenever I think about deadlines.",anxiety_primary,physical_tension
"I notice my emotional reactions feel muted.",depression_primary,emotional_flatness
"I spent time thinking about what went smoothly today.",neutral,self_reflection
"My worries make me feel emotionally heavier than usual.",mixed_anxiety_primary,worry_with_low_mood
"I feel slightly pessimistic and uneasy together.",mixed_depression_primary,pessimistic_anxiety
"My mood changes subtly throughout the afternoon.",mixed_balanced,fluctuating_mood
"I imagine possible outcomes before events even start.",anxiety_primary,worry_future
"I take longer breaks because motivation feels limited.",depression_primary,low_motivation
"I felt temporarily tired after finishing routine tasks.",neutral,temporary_tiredness
"My thoughts feel busy while my emotions feel worn.",mixed_anxiety_primary,anxious_exhaustion
"I feel down while worrying about unfinished items.",mixed_depression_primary,sadness_with_worry
"My emotions move between calm and unsettled.",mixed_balanced,fluctuating_mood
"I analyze simple interactions long after they happen.",anxiety_primary,overthinking
"I struggle to feel excited about weekend plans.",depression_primary,loss_of_interest
"I’m just checking whether this level of stress is typical.",neutral,reassurance_seeking
"My worries gradually turn into sadness.",mixed_anxiety_primary,rumination_and_sadness
"My energy feels low while my thoughts stay active.",mixed_depression_primary,low_energy_overthinking
"I feel stress and sadness balancing each other today.",mixed_balanced,stress_and_low_mood_equal
"My muscles tense up when thinking about responsibilities.",anxiety_primary,physical_tension
"I feel emotionally distant from positive moments.",depression_primary,emotional_flatness
"My day was ordinary but mentally full.",neutral,everyday_stress
"I worry frequently and it lowers my mood slightly.",mixed_anxiety_primary,worry_with_low_mood
"I expect minor issues even when things look fine.",mixed_depression_primary,pessimistic_anxiety
"My feelings seem mixed without a clear reason.",mixed_balanced,emotional_confusion
"I feel unsure about choices I recently made.",anxiety_primary,uncertainty
"It takes extra effort to begin daily routines.",depression_primary,low_motivation
"I felt tired earlier but improved after resting.",neutral,temporary_tiredness
"My mind stays active while I feel emotionally drained.",mixed_anxiety_primary,anxious_exhaustion
"I feel sad while thinking about future obligations.",mixed_depression_primary,sadness_with_worry
"My mood shifts gently during conversations.",mixed_balanced,fluctuating_mood
"I picture future challenges repeatedly.",anxiety_primary,worry_future
"I notice less enjoyment from casual activities.",depression_primary,loss_of_interest
"I reflected on what I learned from today.",neutral,self_reflection
"My thoughts circle worries and bring sadness.",mixed_anxiety_primary,rumination_and_sadness
"I feel pessimistic while also uneasy.",mixed_depression_primary,pessimistic_anxiety
"I feel equally stressed and emotionally low.",mixed_balanced,stress_and_low_mood_equal
"My jaw tightens when waiting for responses.",anxiety_primary,physical_tension
"I feel emotionally flat even during laughter.",depression_primary,emotional_flatness
"I had multiple small tasks that added mild pressure.",neutral,everyday_stress
"I worry often and feel emotionally tired afterward.",mixed_anxiety_primary,worry_with_low_mood
"My thoughts stay active even when my energy drops.",mixed_depression_primary,low_energy_overthinking
"I struggle to name what emotion I’m feeling most.",mixed_balanced,emotional_confusion
"I hesitate because outcomes feel unclear.",anxiety_primary,uncertainty
"I find it difficult to feel driven today.",depression_primary,low_motivation
"I’m looking for reassurance that this tiredness is normal.",neutral,reassurance_seeking
"My thinking feels nonstop and leaves me exhausted.",mixed_anxiety_primary,anxious_exhaustion
"I feel low while anticipating possible issues.",mixed_depression_primary,sadness_with_worry
"My emotions rise and fall slightly across the day.",mixed_balanced,fluctuating_mood
"I replay conversations searching for better wording.",anxiety_primary,overthinking
"I feel detached from activities around me.",depression_primary,loss_of_interest
"I spent time reflecting on how I handled stress.",neutral,self_reflection
"My worries repeat until my mood lowers.",mixed_anxiety_primary,rumination_and_sadness
"I expect complications even without clear evidence.",mixed_depression_primary,pessimistic_anxiety
"I feel stress and sadness in equal amounts.",mixed_balanced,stress_and_low_mood_equal
"My stomach tightens when planning ahead.",anxiety_primary,physical_tension
"I feel emotionally muted throughout the evening.",depression_primary,emotional_flatness
"I’m simply tired after a long routine day.",neutral,temporary_tiredness
"I feel worried while emotionally weighed down.",mixed_anxiety_primary,worry_with_low_mood
"My energy stays low while my mind stays busy.",mixed_depression_primary,low_energy_overthinking
"My emotions feel blended together today.",mixed_balanced,emotional_confusion
"I feel uncertain about future outcomes.",anxiety_primary,uncertainty
"I struggle to start even simple projects.",depression_primary,low_motivation
"My schedule was full but manageable overall.",neutral,everyday_stress
"My mind races while my mood feels heavy.",mixed_anxiety_primary,anxious_exhaustion
"I feel sad while worrying about upcoming plans.",mixed_depression_primary,sadness_with_worry
"My mood drifts gradually between calm and low.",mixed_balanced,fluctuating_mood
"I keep imagining future scenarios repeatedly.",anxiety_primary,worry_future
"I notice reduced excitement toward hobbies.",depression_primary,loss_of_interest
"I’m checking whether others feel this mentally busy.",neutral,reassurance_seeking
"My worries slowly turn into sadness.",mixed_anxiety_primary,rumination_and_sadness
"I feel pessimistic about small uncertainties.",mixed_depression_primary,pessimistic_anxiety
"I feel balanced between stress and sadness.",mixed_balanced,stress_and_low_mood_equal
"My body feels tense when thinking about deadlines.",anxiety_primary,physical_tension
"I feel emotionally quiet despite good moments.",depression_primary,emotional_flatness
"I reviewed my day and noticed steady progress.",neutral,self_reflection
"I worry frequently and feel emotionally heavy.",mixed_anxiety_primary,worry_with_low_mood
"My thoughts remain active despite low energy.",mixed_depression_primary,low_energy_overthinking
"My feelings seem tangled together.",mixed_balanced,emotional_confusion
"I question whether my decisions were correct.",anxiety_primary,uncertainty
"I delay tasks because motivation feels limited.",depression_primary,low_motivation
"I felt temporarily worn out from routine errands.",neutral,temporary_tiredness
"My thoughts keep moving while I feel emotionally tired.",mixed_anxiety_primary,anxious_exhaustion
"I feel low while thinking about responsibilities ahead.",mixed_depression_primary,sadness_with_worry
"My emotions fluctuate gently throughout the day.",mixed_balanced,fluctuating_mood
"I imagine possible problems before events happen.",anxiety_primary,worry_future
"I feel less engaged with entertainment lately.",depression_primary,loss_of_interest
"My day involved normal pressures and small wins.",neutral,everyday_stress
"My worries repeat until sadness appears.",mixed_anxiety_primary,rumination_and_sadness
"I expect setbacks even when things seem stable.",mixed_depression_primary,pessimistic_anxiety
"I feel stress and sadness equally present today.",mixed_balanced,stress_and_low_mood_equal
"My neck tightens when anticipating outcomes.",anxiety_primary,physical_tension
"I feel emotionally flat despite positive updates.",depression_primary,emotional_flatness
"I’m thinking about how today compared to yesterday.",neutral,self_reflection
"I feel worried while emotionally low.",mixed_anxiety_primary,worry_with_low_mood
"My energy stays low while thoughts stay active.",mixed_depression_primary,low_energy_overthinking
"I can’t clearly define my emotional state.",mixed_balanced,emotional_confusion
"I feel unsure how situations will turn out.",anxiety_primary,uncertainty
"I struggle to build momentum with tasks.",depression_primary,low_motivation
"I’m just seeking reassurance that this stress passes.",neutral,reassurance_seeking
"My thinking feels nonstop and tiring.",mixed_anxiety_primary,anxious_exhaustion
"I feel sad while anticipating future demands.",mixed_depression_primary,sadness_with_worry
"My mood alternates subtly between calm and low.",mixed_balanced,fluctuating_mood
"I rethink conversations hours later.",anxiety_primary,overthinking
"I feel disconnected from things I usually enjoy.",depression_primary,loss_of_interest
"My responsibilities felt manageable but tiring.",neutral,everyday_stress
"My worries repeat and bring emotional heaviness.",mixed_anxiety_primary,rumination_and_sadness
"I expect problems even when evidence is limited.",mixed_depression_primary,pessimistic_anxiety
"I feel stress and sadness sharing equal weight.",mixed_balanced,stress_and_low_mood_equal
"My muscles tense when planning ahead.",anxiety_primary,physical_tension
"I feel emotionally muted during social time.",depression_primary,emotional_flatness
"I’m simply tired after completing daily tasks.",neutral,temporary_tiredness
"I feel worried while emotionally drained.",mixed_anxiety_primary,worry_with_low_mood
"My thoughts stay active while energy remains low.",mixed_depression_primary,low_energy_overthinking
"My emotions feel mixed and undefined.",mixed_balanced,emotional_confusion
"I keep wondering how future plans will unfold even during calm moments.",anxiety_primary,worry_future
"I feel emotionally dull even when something good happens.",depression_primary,emotional_flatness
"My day felt busy but manageable overall.",neutral,everyday_stress
"I feel both worried and emotionally tired at once.",mixed_anxiety_primary,worry_with_low_mood
"My energy feels low while I keep expecting problems.",mixed_depression_primary,pessimistic_anxiety
"My emotions feel mixed together without a clear reason.",mixed_balanced,emotional_confusion
"I replay small conversations repeatedly in my head.",anxiety_primary,overthinking
"It takes effort to begin things I normally start easily.",depression_primary,low_motivation
"I’m just checking if others feel this level of stress sometimes.",neutral,reassurance_seeking
"My thoughts keep looping and leave me feeling down.",mixed_anxiety_primary,rumination_and_sadness
"I feel sad while also worrying about upcoming tasks.",mixed_depression_primary,sadness_with_worry
"My mood shifts slightly throughout the day.",mixed_balanced,fluctuating_mood
"My shoulders tense when I think about deadlines.",anxiety_primary,physical_tension
"I notice less enjoyment in activities I usually like.",depression_primary,loss_of_interest
"I spent some time reflecting on how today went.",neutral,self_reflection
"My mind feels busy and emotionally heavy together.",mixed_anxiety_primary,anxious_exhaustion
"My thoughts stay active even though my energy feels low.",mixed_depression_primary,low_energy_overthinking
"I feel stress and sadness in equal amounts today.",mixed_balanced,stress_and_low_mood_equal
"I feel unsure about decisions I recently made.",anxiety_primary,uncertainty
"I struggle to feel motivated even for small tasks.",depression_primary,low_motivation
"I’m just tired from routine responsibilities.",neutral,temporary_tiredness
